[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Resolved location pattern [classpath*:com/excilys/cdb/service/**/*.class] to resources [file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/service/CompanyService.class], file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/service/ComputerService.class]] (PathMatchingResourcePatternResolver.java:520)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Scanning file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/service/CompanyService.class] (ClassPathScanningCandidateComponentProvider.java:425)
[main] DEBUG | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Identified candidate component class: file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/service/CompanyService.class] (ClassPathScanningCandidateComponentProvider.java:435)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Scanning file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/service/ComputerService.class] (ClassPathScanningCandidateComponentProvider.java:425)
[main] DEBUG | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Identified candidate component class: file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/service/ComputerService.class] (ClassPathScanningCandidateComponentProvider.java:435)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Resolved classpath location [com/excilys/cdb/ui/] to resources [URL [file:/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/ui/]] (PathMatchingResourcePatternResolver.java:323)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Looking for matching resources in directory tree [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/ui] (PathMatchingResourcePatternResolver.java:733)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Searching directory [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/ui] for files matching pattern [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/ui/**/*.class] (PathMatchingResourcePatternResolver.java:795)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Resolved location pattern [classpath*:com/excilys/cdb/ui/**/*.class] to resources [file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/ui/CLI.class], file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/ui/CLIAsker.class], file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/ui/CLIView.class], file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/ui/MenuOption.class]] (PathMatchingResourcePatternResolver.java:520)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Scanning file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/ui/CLI.class] (ClassPathScanningCandidateComponentProvider.java:425)
[main] DEBUG | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Identified candidate component class: file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/ui/CLI.class] (ClassPathScanningCandidateComponentProvider.java:435)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Scanning file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/ui/CLIAsker.class] (ClassPathScanningCandidateComponentProvider.java:425)
[main] DEBUG | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Identified candidate component class: file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/ui/CLIAsker.class] (ClassPathScanningCandidateComponentProvider.java:435)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Scanning file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/ui/CLIView.class] (ClassPathScanningCandidateComponentProvider.java:425)
